master_id,hubspot_id,company_name,account_id,churn_date,churn_month,usage_months,avg_users_first_3,avg_users_last_3_before_churn,drop_relative,drop_status,windows_overlap
d3325cc67acf,HS-100156,"Laboratorios Marín, del Río y Garrido",ACC-2155,2024-02-18,2024-02,16,4.33,1.00,0.769231,computed,False
db6aaecba31f,HS-100083,Ferrer-Bernal e Hijos,ACC-2082,2023-12-09,2023-12,10,5.00,1.33,0.733333,computed,False
dcf4823a4d63,HS-100614,Tijerina y Laboy S.C.,ACC-2613,2023-07-20,2023-07,11,3.33,1.00,0.700000,computed,False
8ab5e8824094,HS-100453,Madrid S.A.,ACC-2452,2023-08-16,2023-08,6,6.00,2.00,0.666667,computed,False
acef081a80f0,HS-100217,Cornejo-Navarrete S.A.,ACC-2216,2024-05-21,2024-05,9,5.00,1.67,0.666667,computed,False
c14e78b458d1,HS-100072,"Proyectos Jaramillo, Santillán y Solís",ACC-2071,2024-05-01,2024-05,8,11.00,3.67,0.666667,computed,False
c194e3bdfad5,HS-100311,Tovar A.C.,ACC-2310,2023-10-29,2023-10,13,9.00,3.00,0.666667,computed,False
d6eff0593968,HS-100101,Grupo Hinojosa y Mojica,ACC-2100,2023-06-13,2023-06,6,3.00,1.00,0.666667,computed,False
eb78824cdc91,HS-100187,"Marroquín, Leiva y Maya",ACC-2186,2024-02-08,2024-02,12,21.67,7.67,0.646154,computed,False
6bca486a099d,HS-100336,Laureano-Ocasio,ACC-2335,2024-03-09,2024-03,15,10.33,3.67,0.645161,computed,False
aa6b09af8aaf,HS-100189,"Industrias Ceballos, Lozada y Nava",ACC-2188,2024-05-02,2024-05,11,15.67,5.67,0.638298,computed,False
14e457b52fab,HS-100358,Zapata-Moreno,ACC-2357,2023-05-20,2023-05,9,42.00,15.33,0.634921,computed,False
868d321ac39e,HS-100225,de Jesús y Campos y Asociados,ACC-2224,2024-06-06,2024-06,7,9.00,3.33,0.629630,computed,False
4cfcbde1f51f,HS-100505,Magaña-Sevilla,ACC-2504,2024-04-21,2024-04,18,47.33,17.67,0.626761,computed,False
52584d35f5ce,HS-100111,Industrias Puente y Tello,ACC-2110,2024-02-29,2024-02,11,15.00,5.67,0.622222,computed,False
