cohort_month,k,cohort_size,retained,retention_pct,cell_status
2022-01,1,23,23,100.00,computed
2022-01,3,23,23,100.00,computed
2022-01,6,23,22,95.65,computed
2022-01,12,23,20,86.96,computed
2022-02,1,18,18,100.00,computed
2022-02,3,18,17,94.44,computed
2022-02,6,18,17,94.44,computed
2022-02,12,18,17,94.44,computed
2022-03,1,20,20,100.00,computed
2022-03,3,20,20,100.00,computed
2022-03,6,20,19,95.00,computed
2022-03,12,20,19,95.00,computed
2022-04,1,13,13,100.00,computed
2022-04,3,13,13,100.00,computed
2022-04,6,13,13,100.00,computed
2022-04,12,13,13,100.00,computed
2022-05,1,20,20,100.00,computed
2022-05,3,20,20,100.00,computed
2022-05,6,20,20,100.00,computed
2022-05,12,20,19,95.00,computed
2022-06,1,22,22,100.00,computed
2022-06,3,22,22,100.00,computed
2022-06,6,22,20,90.91,computed
2022-06,12,22,20,90.91,computed
2022-07,1,28,28,100.00,computed
2022-07,3,28,28,100.00,computed
2022-07,6,28,28,100.00,computed
2022-07,12,28,27,96.43,computed
2022-08,1,28,28,100.00,computed
2022-08,3,28,28,100.00,computed
2022-08,6,28,27,96.43,computed
2022-08,12,28,25,89.29,computed
2022-09,1,23,23,100.00,computed
2022-09,3,23,22,95.65,computed
2022-09,6,23,22,95.65,computed
2022-09,12,23,21,91.30,computed
2022-10,1,25,25,100.00,computed
2022-10,3,25,25,100.00,computed
2022-10,6,25,24,96.00,computed
2022-10,12,25,22,88.00,computed
2022-11,1,20,20,100.00,computed
2022-11,3,20,20,100.00,computed
2022-11,6,20,19,95.00,computed
2022-11,12,20,19,95.00,computed
2022-12,1,21,21,100.00,computed
2022-12,3,21,20,95.24,computed
2022-12,6,21,20,95.24,computed
2022-12,12,21,17,80.95,computed
2023-01,1,26,26,100.00,computed
2023-01,3,26,25,96.15,computed
2023-01,6,26,24,92.31,computed
2023-01,12,26,23,88.46,computed
2023-02,1,21,21,100.00,computed
2023-02,3,21,21,100.00,computed
2023-02,6,21,19,90.48,computed
2023-02,12,21,17,80.95,computed
2023-03,1,24,24,100.00,computed
2023-03,3,24,24,100.00,computed
2023-03,6,24,23,95.83,computed
2023-03,12,24,18,75.00,computed
2023-04,1,25,25,100.00,computed
2023-04,3,25,25,100.00,computed
2023-04,6,25,25,100.00,computed
2023-04,12,25,24,96.00,computed
2023-05,1,19,19,100.00,computed
2023-05,3,19,18,94.74,computed
2023-05,6,19,17,89.47,computed
2023-05,12,19,15,78.95,computed
2023-06,1,15,15,100.00,computed
2023-06,3,15,15,100.00,computed
2023-06,6,15,15,100.00,computed
2023-06,12,15,15,100.00,computed
2023-07,1,28,28,100.00,computed
2023-07,3,28,27,96.43,computed
2023-07,6,28,26,92.86,computed
2023-07,12,28,25,89.29,computed
2023-08,1,25,25,100.00,computed
2023-08,3,25,24,96.00,computed
2023-08,6,25,23,92.00,computed
2023-08,12,25,23,92.00,computed
2023-09,1,14,14,100.00,computed
2023-09,3,14,14,100.00,computed
2023-09,6,14,12,85.71,computed
2023-09,12,14,,,censored
2023-10,1,15,15,100.00,computed
2023-10,3,15,15,100.00,computed
2023-10,6,15,14,93.33,computed
2023-10,12,15,,,censored
2023-11,1,14,14,100.00,computed
2023-11,3,14,13,92.86,computed
2023-11,6,14,13,92.86,computed
2023-11,12,14,,,censored
2023-12,1,25,25,100.00,computed
2023-12,3,25,24,96.00,computed
2023-12,6,25,20,80.00,computed
2023-12,12,25,,,censored
2024-01,1,18,18,100.00,computed
2024-01,3,18,16,88.89,computed
2024-01,6,18,15,83.33,computed
2024-01,12,18,,,censored
2024-02,1,26,26,100.00,computed
2024-02,3,26,24,92.31,computed
2024-02,6,26,22,84.62,computed
2024-02,12,26,,,censored
2024-03,1,25,25,100.00,computed
2024-03,3,25,21,84.00,computed
2024-03,6,25,,,censored
2024-03,12,25,,,censored
2024-04,1,26,26,100.00,computed
2024-04,3,26,26,100.00,computed
2024-04,6,26,,,censored
2024-04,12,26,,,censored
2024-05,1,23,23,100.00,computed
2024-05,3,23,23,100.00,computed
2024-05,6,23,,,censored
2024-05,12,23,,,censored
2024-06,1,20,20,100.00,computed
2024-06,3,20,,,censored
2024-06,6,20,,,censored
2024-06,12,20,,,censored
