exception_id,exception_code,source_system,source_id,master_id,field_name,original_value,applied_value,evidence_ref,ruleset_version,decided_at
f441574b7b03,negative_resolution_hours,vitally,TK000013,6d621ac6bce1,resolution_hours,-18.50,null,Closed,1.0.0,2024-08-31
0ccd2f3b7083,negative_resolution_hours,vitally,TK000017,5df58f1cd011,resolution_hours,-56.90,null,Closed,1.0.0,2024-08-31
6804ec9e82b1,negative_resolution_hours,vitally,TK000025,bfcc93c1234c,resolution_hours,-16.20,null,Open,1.0.0,2024-08-31
5a80bef99ef6,negative_resolution_hours,vitally,TK000062,7c49bd17517b,resolution_hours,-8.00,null,Open,1.0.0,2024-08-31
f63e0bcdfa74,negative_resolution_hours,vitally,TK000081,8dc56996e31a,resolution_hours,-2.40,null,Closed,1.0.0,2024-08-31
b14031db4ce0,negative_resolution_hours,vitally,TK000099,c0d5050c1786,resolution_hours,-8.50,null,Closed,1.0.0,2024-08-31
329eb663a011,negative_resolution_hours,vitally,TK000123,f750af5db82c,resolution_hours,-3.50,null,Open,1.0.0,2024-08-31
d0189777b1b2,negative_resolution_hours,vitally,TK000131,e5bcc1fbee61,resolution_hours,-15.90,null,Closed,1.0.0,2024-08-31
9bd5672e4a92,negative_resolution_hours,vitally,TK000249,a323d4abf458,resolution_hours,-9.40,null,Open,1.0.0,2024-08-31
2cbbc10a64cf,negative_resolution_hours,vitally,TK000262,32abb429e0d8,resolution_hours,-58.20,null,Closed,1.0.0,2024-08-31
ee64ffa676e9,negative_resolution_hours,vitally,TK000282,4b4752da4a83,resolution_hours,-9.30,null,Closed,1.0.0,2024-08-31
59d2f2a8c00d,negative_resolution_hours,vitally,TK000345,76352359fd43,resolution_hours,-6.50,null,Closed,1.0.0,2024-08-31
52e4849949ec,negative_resolution_hours,vitally,TK000347,76352359fd43,resolution_hours,-1.40,null,Open,1.0.0,2024-08-31
b86b369b3f37,negative_resolution_hours,vitally,TK000365,1197d211e7e1,resolution_hours,-10.40,null,Closed,1.0.0,2024-08-31
6a607d292aa3,negative_resolution_hours,vitally,TK000442,f618418fca35,resolution_hours,-4.00,null,Open,1.0.0,2024-08-31
bfdaae5ec70d,negative_resolution_hours,vitally,TK000486,89399b82116c,resolution_hours,-22.30,null,Closed,1.0.0,2024-08-31
891db8da844f,negative_resolution_hours,vitally,TK000494,d996f9b6f1f8,resolution_hours,-19.10,null,Closed,1.0.0,2024-08-31
932204a8a12c,negative_resolution_hours,vitally,TK000498,396128940af3,resolution_hours,-5.80,null,Closed,1.0.0,2024-08-31
907da9ac744c,negative_resolution_hours,vitally,TK000526,92b7a8a7cdc7,resolution_hours,-1.70,null,Closed,1.0.0,2024-08-31
7bf34ce59794,negative_resolution_hours,vitally,TK000578,0f9a82123cbe,resolution_hours,-12.80,null,Open,1.0.0,2024-08-31
cf39c819dfb9,negative_resolution_hours,vitally,TK000613,7700c04b25c9,resolution_hours,-60.50,null,Closed,1.0.0,2024-08-31
37787e62e8db,negative_resolution_hours,vitally,TK000733,a18e4270c86b,resolution_hours,-43.70,null,Closed,1.0.0,2024-08-31
bf3358c28c69,negative_resolution_hours,vitally,TK000736,790c661f3ba2,resolution_hours,-4.10,null,Closed,1.0.0,2024-08-31
982782d70150,negative_resolution_hours,vitally,TK000809,3f41a4432bea,resolution_hours,-19.50,null,Closed,1.0.0,2024-08-31
4b192bb8b6ac,negative_resolution_hours,vitally,TK000825,50de7a632ea8,resolution_hours,-11.30,null,Closed,1.0.0,2024-08-31
e9397376b46c,negative_resolution_hours,vitally,TK000845,8740e47ba5df,resolution_hours,-4.90,null,Closed,1.0.0,2024-08-31
89e84127559d,negative_resolution_hours,vitally,TK000879,eab9d5094af3,resolution_hours,-22.60,null,Closed,1.0.0,2024-08-31
58956bbeb75c,negative_resolution_hours,vitally,TK000885,785078eeba1d,resolution_hours,-69.50,null,Closed,1.0.0,2024-08-31
596bf5099394,negative_resolution_hours,vitally,TK000944,e37c074286d9,resolution_hours,-5.40,null,Closed,1.0.0,2024-08-31
4b4d56d3a2bd,negative_resolution_hours,vitally,TK000999,789c81ac0120,resolution_hours,-61.50,null,Closed,1.0.0,2024-08-31
742058688ac7,negative_resolution_hours,vitally,TK001056,2f2fd459ddca,resolution_hours,-33.20,null,Closed,1.0.0,2024-08-31
bf42ff70d2f5,negative_resolution_hours,vitally,TK001095,190a2d8a76a2,resolution_hours,-3.70,null,Closed,1.0.0,2024-08-31
7dbca00da6ae,negative_resolution_hours,vitally,TK001199,a62f0320022a,resolution_hours,-17.60,null,Closed,1.0.0,2024-08-31
486004b39c5d,negative_resolution_hours,vitally,TK001262,97081fd75d7e,resolution_hours,-15.30,null,Open,1.0.0,2024-08-31
fd904e4eb3a2,negative_resolution_hours,vitally,TK001263,97081fd75d7e,resolution_hours,-6.30,null,Open,1.0.0,2024-08-31
b1c171bc4fa9,negative_resolution_hours,vitally,TK001268,1288cafbc1fe,resolution_hours,-15.40,null,Closed,1.0.0,2024-08-31
626c9e07081a,negative_resolution_hours,vitally,TK001272,25f129ce4fc4,resolution_hours,-24.80,null,Closed,1.0.0,2024-08-31
7cf8d58d3823,negative_resolution_hours,vitally,TK001436,87428c0f5a32,resolution_hours,-50.50,null,Closed,1.0.0,2024-08-31
6f539b85b86e,negative_resolution_hours,vitally,TK001467,5d3a54fbe090,resolution_hours,-1.60,null,Closed,1.0.0,2024-08-31
743774f93af6,negative_resolution_hours,vitally,TK001526,368a3f9d6514,resolution_hours,-54.90,null,Closed,1.0.0,2024-08-31
7020a342f556,negative_resolution_hours,vitally,TK001533,81215df16b9d,resolution_hours,-8.80,null,Closed,1.0.0,2024-08-31
3f899529a140,negative_resolution_hours,vitally,TK001538,5f6fe04e3c0d,resolution_hours,-65.50,null,Closed,1.0.0,2024-08-31
312b32738291,negative_resolution_hours,vitally,TK001658,6709cae3efd1,resolution_hours,-1.90,null,Closed,1.0.0,2024-08-31
81d03633cce1,negative_resolution_hours,vitally,TK001766,e19569d925d2,resolution_hours,-14.20,null,Closed,1.0.0,2024-08-31
300152907ae0,negative_resolution_hours,vitally,TK001769,04887d0f3f7c,resolution_hours,-20.90,null,Closed,1.0.0,2024-08-31
9836ef156c4e,negative_resolution_hours,vitally,TK001798,b11ab648f308,resolution_hours,-6.50,null,Closed,1.0.0,2024-08-31
ed953fd78a32,negative_resolution_hours,vitally,TK001881,12bb70998c29,resolution_hours,-12.70,null,Closed,1.0.0,2024-08-31
7688367bff98,negative_resolution_hours,vitally,TK001886,9de59d515b9f,resolution_hours,-34.50,null,Open,1.0.0,2024-08-31
