hubspot_id,name,domain,segment,industry,mrr,currency,signup_date,csm_owner,plan,state,churn_date,mrr_mxn,mrr_original,currency_original,mrr_source,mrr_confidence
HS-100001,"Gaitán, Olmos y Paredes",gaitán115.com.mx,SMB,Automotriz,2204.00,MXN,2022-02-28,Fernanda Solís,Basico,Jalisco,,2204.00,2204.00,MXN,crm,none
HS-100002,Guillen y Saucedo y Asociados,guillen759.com.mx,Enterprise,Automotriz,66698.00,MXN,2024-01-01,Ana Ruiz,Premium,Jalisco,,66698.00,66698.00,MXN,crm,none
HS-100003,Granados y Solís e Hijos,granados239.com.mx,Mid-Market,Construcción,9869.00,MXN,2024-05-30,Fernanda Solís,Pro,Chihuahua,,9869.00,9869.00,MXN,crm,none
HS-100004,Club Medrano y Mercado,club226.com.mx,Mid-Market,Educación,18115.00,MXN,2024-05-13,Diego Ortega,Pro,Nuevo León,,18115.00,18115.00,MXN,crm,none
HS-100005,Club Jasso y Puente,club433.com.mx,SMB,Agroindustria,4787.00,MXN,2022-09-11,Ana Ruiz,Basico,Jalisco,2023-10-20,4787.00,4787.00,MXN,crm,none
HS-100006,Cuellar-Ceja e Hijos,cuellarceja100.com.mx,SMB,Educación,4940.00,MXN,2022-02-20,Ana Ruiz,Basico,Yucatán,,4940.00,4940.00,MXN,crm,none
HS-100007,Cabrera S.C.,cabrera128.com.mx,SMB,Servicios Financieros,5100.00,MXN,2022-06-30,Fernanda Solís,Basico,Sonora,,5100.00,5100.00,MXN,crm,none
HS-100008,"Frías, Briseño y Molina",frías592.com.mx,Mid-Market,Salud,11279.00,MXN,2023-01-21,Diego Ortega,Pro,Querétaro,,11279.00,11279.00,MXN,crm,none
HS-100009,González-Serrano A.C.,gonzálezserr876.com.mx,Mid-Market,Retail,12309.00,MXN,2022-11-03,Fernanda Solís,Pro,Guanajuato,,12309.00,12309.00,MXN,crm,none
HS-100010,"Proyectos Zamora, Amaya y Rosales",proyectos380.com.mx,Mid-Market,Tecnología,15865.00,MXN,2023-06-23,Fernanda Solís,Pro,Jalisco,,15865.00,15865.00,MXN,crm,none
HS-100011,"Aragón, Rodríguez y Carmona",aragón651.com.mx,SMB,Hospitalidad,3401.00,MXN,2023-01-20,Jorge Ibarra,Basico,Estado de México,,3401.00,3401.00,MXN,crm,none
HS-100012,Zaragoza y Asociados,zaragoza948.com.mx,Enterprise,Logística,42392.00,MXN,2023-07-29,Diego Ortega,Premium,CDMX,,42392.00,,MXN,imputed_from_deal,medium
HS-100013,Aguilar-Tejeda,aguilartejed842.com.mx,Mid-Market,Construcción,19336.00,MXN,2022-07-01,Luis Peña,Pro,Sonora,,19336.00,19336.00,MXN,crm,none
HS-100014,"Zayas, Limón y Tejada",zayas323.com.mx,SMB,Agroindustria,3741.00,MXN,2023-01-12,Fernanda Solís,Basico,Yucatán,,3741.00,3741.00,MXN,crm,none
HS-100015,"Perea, Vanegas y Mayorga",perea272.com.mx,SMB,Tecnología,3143.00,MXN,2023-04-29,Marta Díaz,Basico,Sonora,,3143.00,3143.00,MXN,crm,none
HS-100016,Cabrera y Galván S. R.L. de C.V.,cabrera920.com.mx,SMB,Educación,6780.00,MXN,2023-07-28,Carla Nuñez,Basico,Yucatán,2023-12-05,6780.00,6780.00,MXN,crm,none
HS-100017,"Club Badillo, Ruelas y Almonte",club774.com.mx,SMB,Retail,2385.00,MXN,2024-05-18,Diego Ortega,Basico,Estado de México,,2385.00,2385.00,MXN,crm,none
HS-100018,Mateo-Rolón S. R.L. de C.V.,mateorolón66.com.mx,SMB,Hospitalidad,5152.00,MXN,2022-03-20,Carla Nuñez,Basico,Querétaro,,5152.00,5152.00,MXN,crm,none
HS-100019,Laboratorios Ulibarri-Duarte,laboratorios882.com.mx,SMB,Servicios Financieros,2094.00,MXN,2022-11-21,Diego Ortega,Basico,Querétaro,,2094.00,2094.00,MXN,crm,none
HS-100020,"Espinosa, Valdez y Tamez",espinosa349.com.mx,SMB,Automotriz,2913.00,MXN,2022-02-15,Fernanda Solís,Basico,Querétaro,2022-04-19,2913.00,2913.00,MXN,crm,none
HS-100021,Rivera y Frías y Asociados,rivera781.com.mx,Mid-Market,Servicios Financieros,25635.00,MXN,2024-05-16,Fernanda Solís,Pro,Querétaro,,25635.00,,MXN,imputed_from_deal,medium
HS-100022,Castro y Saldaña e Hijos,castro520.com.mx,SMB,Automotriz,6988.00,MXN,2024-06-20,Luis Peña,Basico,Chihuahua,,6988.00,6988.00,MXN,crm,none
HS-100023,Proyectos Piña-Patiño,proyectos941.com.mx,SMB,Servicios Financieros,2004.00,MXN,2023-05-10,Diego Ortega,Basico,Querétaro,2024-01-10,2004.00,2004.00,MXN,crm,none
HS-100024,"Narváez, Madera y Roldán",narváez60.com.mx,SMB,Construcción,3973.00,MXN,2022-12-13,Diego Ortega,Basico,Jalisco,2023-10-17,3973.00,3973.00,MXN,crm,none
HS-100025,Marrero-Prieto,marreropriet785.com.mx,SMB,Servicios Financieros,3030.00,MXN,2022-11-07,Carla Nuñez,Basico,Nuevo León,,3030.00,3030.00,MXN,crm,none
HS-100026,"Corporacin Sosa, Mora y Villareal",corporacin541.com.mx,Mid-Market,Logística,22865.00,MXN,2024-04-30,Diego Ortega,Pro,Puebla,,22865.00,22865.00,MXN,crm,none
HS-100027,Laboratorios Godoy y Toledo,laboratorios320.com.mx,SMB,Agroindustria,5268.00,MXN,2024-04-12,Jorge Ibarra,Basico,Jalisco,,5268.00,5268.00,MXN,crm,none
HS-100028,Sanches y Asociados,sanches231.com.mx,SMB,Construcción,2524.00,MXN,2024-02-15,Luis Peña,Basico,Sonora,,2524.00,2524.00,MXN,crm,none
HS-100029,Villagómez-de Jesús e Hijos,villagómezde8.com.mx,Mid-Market,Construcción,10929.00,MXN,2023-11-11,Diego Ortega,Pro,Guanajuato,2024-01-18,10929.00,10929.00,MXN,crm,none
HS-100030,García S. R.L. de C.V.,garcía527.com.mx,SMB,Retail,3949.00,MXN,2024-02-08,Carla Nuñez,Basico,Nuevo León,,3949.00,,MXN,imputed_from_deal,medium
HS-100031,Casas y Salinas y Asociados,casas958.com.mx,Mid-Market,Agroindustria,27881.00,MXN,2022-11-01,Jorge Ibarra,Pro,Estado de México,,27881.00,27881.00,MXN,crm,none
HS-100032,Meraz-Cintrón,merazcintrón97.com.mx,SMB,Construcción,2794.00,MXN,2022-06-03,Jorge Ibarra,Basico,CDMX,,2794.00,2794.00,MXN,crm,none
HS-100033,Heredia-Carrión,herediacarri670.com.mx,SMB,Automotriz,7293.00,MXN,2024-06-29,Marta Díaz,Basico,Jalisco,,7293.00,7293.00,MXN,crm,none
HS-100034,Proyectos Barraza-Mata,proyectos197.com.mx,Enterprise,Construcción,57400.00,MXN,2022-06-28,Luis Peña,Premium,Querétaro,,57400.00,57400.00,MXN,crm,none
HS-100035,"Aponte, Bueno y Orosco",aponte256.com.mx,Enterprise,Alimentos,80954.00,MXN,2024-01-13,Carla Nuñez,Premium,Jalisco,,80954.00,80954.00,MXN,crm,none
HS-100036,Navarrete-Berríos S.A.,navarreteber668.com.mx,Mid-Market,Manufactura,9483.00,MXN,2023-12-05,Diego Ortega,Pro,Puebla,,9483.00,9483.00,MXN,crm,none
HS-100037,Narváez-Rolón,narváezrolón417.com.mx,SMB,Tecnología,5978.00,MXN,2022-07-19,Ana Ruiz,Basico,Nuevo León,,5978.00,5978.00,MXN,crm,none
HS-100038,Miramontes y Zambrano S.A. de C.V.,miramontes3.com.mx,SMB,Educación,5198.00,MXN,2022-07-11,Jorge Ibarra,Basico,Querétaro,,5198.00,5198.00,MXN,crm,none
HS-100039,Enríquez-Olivárez,enríquezoliv714.com.mx,Mid-Market,Educación,27211.00,MXN,2022-01-08,Luis Peña,Pro,Puebla,,27211.00,27211.00,MXN,crm,none
HS-100040,"Proyectos Quezada, Hernandes y Arce",proyectos223.com.mx,SMB,Logística,2479.00,MXN,2022-03-24,Fernanda Solís,Basico,Guanajuato,,2479.00,2479.00,MXN,crm,none
HS-100041,Iglesias-Prado A.C.,iglesiasprad52.com.mx,SMB,Manufactura,6785.00,MXN,2023-04-12,Carla Nuñez,Basico,Nuevo León,,6785.00,6785.00,MXN,crm,none
HS-100042,Maldonado-Bueno,maldonadobue984.com.mx,SMB,Manufactura,6160.00,MXN,2022-11-23,Fernanda Solís,Basico,Puebla,2023-04-01,6160.00,6160.00,MXN,crm,none
HS-100043,Laboratorios Caldera-Arredondo,laboratorios123.com.mx,SMB,Educación,6666.00,MXN,2022-01-11,Carla Nuñez,Basico,Jalisco,,6666.00,6666.00,MXN,crm,none
HS-100044,Acosta S.A.,acosta674.com.mx,Enterprise,Educación,62261.00,MXN,2024-06-17,Marta Díaz,Premium,Puebla,,62261.00,62261.00,MXN,crm,none
HS-100045,"Industrias Soto, Luna y Llamas",industrias734.com.mx,SMB,Automotriz,4573.00,MXN,2022-05-18,Fernanda Solís,Basico,Querétaro,,4573.00,4573.00,MXN,crm,none
HS-100046,"Figueroa, Villa y Rojo",figueroa324.com.mx,Mid-Market,Alimentos,11377.00,MXN,2023-03-10,Carla Nuñez,Pro,Jalisco,,11377.00,11377.00,MXN,crm,none
HS-100047,Despacho Fonseca-Toro,despacho551.com.mx,SMB,Retail,3746.00,MXN,2024-04-24,Marta Díaz,Basico,Jalisco,,3746.00,3746.00,MXN,crm,none
HS-100048,Corporacin Enríquez y Romero,corporacin379.com.mx,SMB,Construcción,4334.00,MXN,2023-01-24,Fernanda Solís,Basico,Querétaro,,4334.00,4334.00,MXN,crm,none
HS-100049,Arellano-Robles S. R.L. de C.V.,arellanorobl827.com.mx,SMB,Hospitalidad,7357.00,MXN,2022-08-09,Carla Nuñez,Basico,Querétaro,,7357.00,7357.00,MXN,crm,none
HS-100050,"Arredondo, Mateo y Alcántar",arredondo107.com.mx,SMB,Automotriz,3100.00,MXN,2023-06-18,Fernanda Solís,Basico,Chihuahua,,3100.00,3100.00,MXN,crm,none
HS-100051,Peña y Aguirre S.C.,peña279.com.mx,Enterprise,Tecnología,75029.00,MXN,2022-01-09,Fernanda Solís,Premium,Querétaro,,75029.00,75029.00,MXN,crm,none
HS-100052,Cordero S.A.,cordero501.com.mx,Mid-Market,Servicios Financieros,10664.00,MXN,2023-12-22,Diego Ortega,Pro,Querétaro,,10664.00,10664.00,MXN,crm,none
HS-100053,"Sevilla, Prado y Gálvez",sevilla4.com.mx,Enterprise,Manufactura,69753.00,MXN,2022-07-21,Luis Peña,Premium,Yucatán,,69753.00,69753.00,MXN,crm,none
HS-100054,Club Soto-Solorio,club723.com.mx,Enterprise,Servicios Financieros,28633.00,MXN,2022-02-01,Fernanda Solís,Premium,Nuevo León,,28633.00,28633.00,MXN,crm,none
HS-100055,León S.A.,león37.com.mx,Mid-Market,Servicios Financieros,21098.00,MXN,2024-03-17,Jorge Ibarra,Pro,Nuevo León,,21098.00,21098.00,MXN,crm,none
HS-100056,Industrias Balderas y Yáñez,industrias316.com.mx,Enterprise,Manufactura,86911.00,MXN,2022-06-18,Fernanda Solís,Premium,Puebla,,86911.00,,MXN,imputed_from_deal,medium
HS-100057,"Proyectos Lara, Garica y Olmos",proyectos106.com.mx,SMB,Automotriz,4897.00,MXN,2023-01-17,Carla Nuñez,Basico,Nuevo León,,4897.00,4897.00,MXN,crm,none
HS-100058,"Laboratorios Téllez, Sanches y Abreu",laboratorios886.com.mx,SMB,Construcción,3331.00,MXN,2024-02-07,Luis Peña,Basico,Guanajuato,,3331.00,3331.00,MXN,crm,none
HS-100059,Despacho Escobar-Soto,despacho822.com.mx,SMB,Educación,7487.00,MXN,2022-06-30,Jorge Ibarra,Basico,CDMX,2022-12-17,7487.00,7487.00,MXN,crm,none
HS-100060,"Corporacin Verduzco, Caraballo y Raya",corporacin228.com.mx,SMB,Alimentos,3634.00,MXN,2023-12-24,Diego Ortega,Basico,Puebla,,3634.00,3634.00,MXN,crm,none
HS-100061,Grupo Valencia-Alva,grupo25.com.mx,SMB,Construcción,7406.00,MXN,2023-03-12,Diego Ortega,Basico,Jalisco,,7406.00,7406.00,MXN,crm,none
HS-100062,"Proyectos Olvera, Llamas y Huerta",proyectos360.com.mx,SMB,Logística,7255.00,MXN,2024-04-21,Diego Ortega,Basico,Chihuahua,,7255.00,7255.00,MXN,crm,none
HS-100063,Cordero y Durán S. R.L. de C.V.,cordero962.com.mx,Mid-Market,Salud,12779.00,MXN,2022-05-12,Luis Peña,Pro,Sonora,,12779.00,12779.00,MXN,crm,none
HS-100064,Ybarra y Alcaraz S.C.,ybarra40.com.mx,SMB,Logística,2888.00,MXN,2024-06-09,Marta Díaz,Basico,Estado de México,,2888.00,2888.00,MXN,crm,none
HS-100065,Valladares S.C.,valladares524.com.mx,SMB,Hospitalidad,2947.00,MXN,2023-08-19,Marta Díaz,Basico,CDMX,,2947.00,2947.00,MXN,crm,none
HS-100066,Villareal S.A. de C.V.,villareal447.com.mx,SMB,Agroindustria,2013.00,MXN,2023-02-11,Fernanda Solís,Basico,Puebla,,2013.00,2013.00,MXN,crm,none
HS-100067,"Club Santacruz, Valencia y Casas",club442.com.mx,SMB,Salud,2573.00,MXN,2024-02-05,Diego Ortega,Basico,Jalisco,,2573.00,2573.00,MXN,crm,none
HS-100068,Club Montemayor-Godoy,club922.com.mx,Mid-Market,Agroindustria,25617.00,MXN,2023-01-24,Marta Díaz,Pro,Estado de México,,25617.00,25617.00,MXN,crm,none
HS-100069,"Despacho Amaya, Arevalo y Reyna",despacho303.com.mx,SMB,Agroindustria,6541.00,MXN,2024-02-01,Jorge Ibarra,Basico,Nuevo León,,6541.00,6541.00,MXN,crm,none
HS-100070,Mendoza A.C.,mendoza583.com.mx,Enterprise,Hospitalidad,63909.00,MXN,2023-09-28,Marta Díaz,Premium,Querétaro,,63909.00,63909.00,MXN,crm,none
HS-100071,"Haro, Bahena y Alva",haro441.com.mx,Mid-Market,Construcción,19559.00,MXN,2024-06-19,Fernanda Solís,Pro,Puebla,,19559.00,19559.00,MXN,crm,none
HS-100072,"Proyectos Jaramillo, Santillán y Solís",proyectos485.com.mx,SMB,Servicios Financieros,8502.00,MXN,2023-10-23,Fernanda Solís,Basico,Sonora,2024-05-01,8502.00,8502.00,MXN,crm,none
HS-100073,Rangel S.A. de C.V.,rangel96.com.mx,SMB,Salud,8704.00,MXN,2022-05-30,Diego Ortega,Basico,Puebla,,8704.00,8704.00,MXN,crm,none
HS-100074,Grupo Fonseca y Galarza,grupo26.com.mx,Mid-Market,Tecnología,17023.00,MXN,2024-05-29,Diego Ortega,Pro,Jalisco,,17023.00,17023.00,MXN,crm,none
HS-100075,Carrera y Crespo y Asociados,carrera425.com.mx,Mid-Market,Alimentos,27863.00,MXN,2022-07-02,Jorge Ibarra,Pro,Yucatán,,27863.00,27863.00,MXN,crm,none
HS-100076,"Parra, Ybarra y Menéndez",parra250.com.mx,Mid-Market,Educación,9181.00,MXN,2023-03-17,Diego Ortega,Pro,Jalisco,,9181.00,9181.00,MXN,crm,none
HS-100077,"Menéndez, Figueroa y Corral",menéndez225.com.mx,Mid-Market,Educación,25972.00,MXN,2024-01-20,Diego Ortega,Pro,Jalisco,2024-04-20,25972.00,25972.00,MXN,crm,none
HS-100078,López e Hijos,lópez137.com.mx,SMB,Alimentos,8565.00,MXN,2022-11-25,Carla Nuñez,Basico,Sonora,,8565.00,8565.00,MXN,crm,none
HS-100079,Despacho Olivárez-Ruelas,despacho973.com.mx,SMB,Salud,8187.00,MXN,2024-03-26,Carla Nuñez,Basico,Estado de México,,8187.00,8187.00,MXN,crm,none
HS-100080,"Grupo Carrasco, Toro y Mora",grupo457.com.mx,SMB,Servicios Financieros,3303.00,MXN,2023-04-05,Luis Peña,Basico,Querétaro,,3303.00,3303.00,MXN,crm,none
HS-100081,"Ojeda, Rivas y Roybal",ojeda497.com.mx,Mid-Market,Servicios Financieros,16839.00,MXN,2023-04-06,Fernanda Solís,Pro,Querétaro,,16839.00,16839.00,MXN,crm,none
HS-100082,Miramontes y Zarate A.C.,miramontes279.com.mx,Mid-Market,Construcción,19476.00,MXN,2023-05-06,Luis Peña,Pro,Nuevo León,,19476.00,19476.00,MXN,crm,none
HS-100083,Ferrer-Bernal e Hijos,ferrerbernal393.com.mx,SMB,Construcción,7684.00,MXN,2023-03-12,Jorge Ibarra,Basico,Guanajuato,2023-12-09,7684.00,7684.00,MXN,crm,none
HS-100084,"de la Crúz, García y Carrillo",de478.com.mx,SMB,Servicios Financieros,5406.00,MXN,2023-04-16,Jorge Ibarra,Basico,Sonora,,5406.00,5406.00,MXN,crm,none
HS-100085,Carrillo S.C.,carrillo21.com.mx,SMB,Agroindustria,8271.00,MXN,2022-04-08,Marta Díaz,Basico,Querétaro,,8271.00,8271.00,MXN,crm,none
HS-100086,Laboratorios Herrera y Rodríguez,laboratorios874.com.mx,SMB,Educación,8846.00,MXN,2022-12-28,Carla Nuñez,Basico,Sonora,,8846.00,8846.00,MXN,crm,none
HS-100087,Rosas-Varela,rosasvarela500.com.mx,Mid-Market,Construcción,17943.00,MXN,2022-08-08,Jorge Ibarra,Pro,Guanajuato,,17943.00,17943.00,MXN,crm,none
HS-100088,Raya e Hijos,raya696.com.mx,Mid-Market,Automotriz,22248.00,MXN,2022-03-13,Jorge Ibarra,Pro,Nuevo León,,22248.00,22248.00,MXN,crm,none
HS-100089,Muñiz y Cedillo y Asociados,muñiz547.com.mx,Enterprise,Hospitalidad,66790.00,MXN,2022-09-12,Ana Ruiz,Premium,Jalisco,,66790.00,66790.00,MXN,crm,none
HS-100090,Ríos-Tijerina,ríostijerina439.com.mx,SMB,Automotriz,3111.00,MXN,2023-02-09,Marta Díaz,Basico,Puebla,2023-10-21,3111.00,3111.00,MXN,crm,none
HS-100091,Club Gil-Razo,club335.com.mx,SMB,Alimentos,4764.00,MXN,2023-06-23,Diego Ortega,Basico,Estado de México,,4764.00,4764.00,MXN,crm,none
HS-100092,Club Maya-Vergara,club855.com.mx,Mid-Market,Logística,451603.50,MXN,2022-08-14,Ana Ruiz,Pro,Guanajuato,,451603.50,24411.00,USD,crm,none
HS-100093,"Laboratorios Briseño, Toledo y Salgado",laboratorios666.com.mx,Mid-Market,Construcción,10319.00,MXN,2023-05-10,Luis Peña,Pro,CDMX,2023-11-12,10319.00,10319.00,MXN,crm,none
HS-100094,Cervantes-Esquibel,cervantesesq157.com.mx,Mid-Market,Hospitalidad,13136.00,MXN,2022-09-05,Carla Nuñez,Pro,Puebla,,13136.00,,MXN,imputed_from_deal,medium
HS-100095,Proyectos Escobar-Vigil,proyectos717.com.mx,Mid-Market,Alimentos,21087.00,MXN,2022-05-28,Fernanda Solís,Pro,Jalisco,,21087.00,21087.00,MXN,crm,none
HS-100096,Flórez-Monroy e Hijos,flórezmonroy988.com.mx,SMB,Tecnología,4548.00,MXN,2024-05-07,Marta Díaz,Basico,Sonora,,4548.00,4548.00,MXN,crm,none
HS-100097,"Casárez, Carvajal y Laboy",casárez930.com.mx,SMB,Automotriz,5074.00,MXN,2022-12-24,Ana Ruiz,Basico,Sonora,,5074.00,5074.00,MXN,crm,none
HS-100098,Camacho-Perales,camachoperal851.com.mx,SMB,Agroindustria,7138.00,MXN,2022-03-04,Marta Díaz,Basico,Sonora,,7138.00,7138.00,MXN,crm,none
HS-100099,Garibay-Tejeda S. R.L. de C.V.,garibaytejed816.com.mx,SMB,Retail,6636.00,MXN,2024-03-26,Fernanda Solís,Basico,Guanajuato,,6636.00,6636.00,MXN,crm,none
HS-100100,Industrias Baca y Camarillo,industrias519.com.mx,SMB,Retail,7304.00,MXN,2022-12-01,Diego Ortega,Basico,Yucatán,,7304.00,7304.00,MXN,crm,none
HS-100101,Grupo Hinojosa y Mojica,grupo444.com.mx,SMB,Retail,4967.00,MXN,2023-01-14,Fernanda Solís,Basico,Chihuahua,2023-06-13,4967.00,4967.00,MXN,crm,none
HS-100102,"Venegas, Cantú y Munguía",venegas277.com.mx,Mid-Market,Automotriz,26634.00,MXN,2023-02-14,Jorge Ibarra,Pro,Sonora,,26634.00,26634.00,MXN,crm,none
HS-100103,Industrias Ramos-Tejeda,industrias331.com.mx,SMB,Logística,8977.00,MXN,2022-06-20,Marta Díaz,Basico,Yucatán,,8977.00,8977.00,MXN,crm,none
HS-100104,"Club Villalobos, Rentería y Quintana",club769.com.mx,SMB,Construcción,5806.00,MXN,2022-11-24,Marta Díaz,Basico,CDMX,,5806.00,5806.00,MXN,crm,none
HS-100105,Grupo Covarrubias y Cruz,grupo872.com.mx,Enterprise,Alimentos,59952.00,MXN,2023-04-16,Diego Ortega,Premium,Querétaro,,59952.00,59952.00,MXN,crm,none
HS-100106,Olmos y Lozano S.C.,olmos287.com.mx,SMB,Salud,6883.00,MXN,2022-05-04,Ana Ruiz,Basico,Puebla,2023-01-14,6883.00,6883.00,MXN,crm,none
HS-100107,Bermúdez-Sánchez S.C.,bermúdezsánc417.com.mx,SMB,Agroindustria,72024.00,MXN,2023-01-25,Jorge Ibarra,Basico,Yucatán,,72024.00,,MXN,imputed_from_deal,high
HS-100108,Santana y Asociados,santana812.com.mx,Mid-Market,Alimentos,12049.00,MXN,2022-03-15,Fernanda Solís,Pro,Puebla,,12049.00,12049.00,MXN,crm,none
HS-100109,Collazo-Frías e Hijos,collazofrías680.com.mx,SMB,Logística,6764.00,MXN,2022-08-03,Marta Díaz,Basico,Estado de México,,6764.00,6764.00,MXN,crm,none
HS-100110,Brito-Alvarado,britoalvarad564.com.mx,SMB,Agroindustria,4709.00,MXN,2022-08-26,Marta Díaz,Basico,Querétaro,,4709.00,4709.00,MXN,crm,none
