exception_id,exception_code,source_system,source_id,master_id,field_name,original_value,applied_value,evidence_ref,ruleset_version,decided_at
60e480479462,mrr_imputed_from_deal,crm_hubspot,HS-100012,2abb19d06446,mrr_mxn,,42392.00,D00015,1.0.0,2024-08-31
2efaa50dac28,mrr_imputed_from_deal,crm_hubspot,HS-100021,7c49bd17517b,mrr_mxn,,25635.00,D00026,1.0.0,2024-08-31
52574d3895d2,mrr_imputed_from_deal,crm_hubspot,HS-100030,800f2eb56933,mrr_mxn,,3949.00,D00037,1.0.0,2024-08-31
6611a1c8794c,mrr_imputed_from_deal,crm_hubspot,HS-100056,41d822af890b,mrr_mxn,,86911.00,D00072,1.0.0,2024-08-31
224f5fd28828,mrr_imputed_from_deal,crm_hubspot,HS-100094,cfa499631566,mrr_mxn,,13136.00,D00131,1.0.0,2024-08-31
a09f90f93a70,mrr_imputed_from_deal,crm_hubspot,HS-100107,34a9ffde0fc0,mrr_mxn,,72024.00,D00146,1.0.0,2024-08-31
d984d5d3ca88,mrr_imputed_from_deal,crm_hubspot,HS-100119,c80df26f0cb2,mrr_mxn,,946020.00,D00163,1.0.0,2024-08-31
482b9110bd9a,mrr_imputed_from_deal,crm_hubspot,HS-100141,659b8fb24c41,mrr_mxn,,43973.00,D00195,1.0.0,2024-08-31
fc1fda26e0e8,mrr_imputed_from_deal,crm_hubspot,HS-100216,5c5dbbe39468,mrr_mxn,,4541.00,D00312,1.0.0,2024-08-31
1197e2201ba9,mrr_imputed_from_deal,crm_hubspot,HS-100229,7d7c2ceb2e92,mrr_mxn,,387828.00,D00330,1.0.0,2024-08-31
7d9dd80c7d53,mrr_imputed_from_deal,crm_hubspot,HS-100275,eff19c144690,mrr_mxn,,7843.00,D00412,1.0.0,2024-08-31
93a0463c4a15,mrr_imputed_from_deal,crm_hubspot,HS-100311,c194e3bdfad5,mrr_mxn,,7738.00,D00469,1.0.0,2024-08-31
8d3ec6268f20,mrr_imputed_from_deal,crm_hubspot,HS-100322,e8f392fbcfbd,mrr_mxn,,19823.00,D00482,1.0.0,2024-08-31
46923ed63c9c,mrr_imputed_from_deal,crm_hubspot,HS-100337,e48d5b78a86a,mrr_mxn,,18667.00,D00502,1.0.0,2024-08-31
a03bcab1ed22,mrr_imputed_from_deal,crm_hubspot,HS-100348,0b0c556bec93,mrr_mxn,,31884.00,D00519,1.0.0,2024-08-31
f4607a68edf9,mrr_imputed_from_deal,crm_hubspot,HS-100358,14e457b52fab,mrr_mxn,,27214.00,D00532,1.0.0,2024-08-31
a5634ceb2f57,mrr_imputed_from_deal,crm_hubspot,HS-100448,538f62518bf7,mrr_mxn,,144600.00,D00672,1.0.0,2024-08-31
707f0e9fe4a9,mrr_imputed_from_deal,crm_hubspot,HS-100452,a6444ea5d4ad,mrr_mxn,,27551.00,D00678,1.0.0,2024-08-31
19bb0a340e6c,mrr_imputed_from_deal,crm_hubspot,HS-100465,1c09f8474886,mrr_mxn,,79050.00,D00697,1.0.0,2024-08-31
1a0a7c40bc73,mrr_imputed_from_deal,crm_hubspot,HS-100500,baf649016fa9,mrr_mxn,,45050.00,D00746,1.0.0,2024-08-31
e784adbca272,mrr_imputed_from_deal,crm_hubspot,HS-100523,967e6f7023fc,mrr_mxn,,70544.00,D00788,1.0.0,2024-08-31
0b670ebdce10,mrr_imputed_from_deal,crm_hubspot,HS-100553,f53160415402,mrr_mxn,,12283.00,D00831,1.0.0,2024-08-31
019093384366,mrr_imputed_from_deal,crm_hubspot,HS-100573,2f9a572a5bab,mrr_mxn,,6864.00,D00857,1.0.0,2024-08-31
d2724c3b6597,mrr_imputed_from_deal,crm_hubspot,HS-100585,dcbec6838ba3,mrr_mxn,,23993.00,D00875,1.0.0,2024-08-31
89c1d1f622e8,mrr_imputed_from_deal,crm_hubspot,HS-100608,6b9938219d8f,mrr_mxn,,3133.00,D00902,1.0.0,2024-08-31
c5630859ba2b,mrr_imputed_from_deal,crm_hubspot,HS-100626,0f42092743f1,mrr_mxn,,8220.00,D00932,1.0.0,2024-08-31
8bc359e2d9ad,mrr_imputed_from_deal,crm_hubspot,HS-100642,8aace75b998d,mrr_mxn,,7598.00,D00951,1.0.0,2024-08-31
2f92a13d9e6b,mrr_imputed_from_deal,crm_hubspot,HS-100647,ae32988dfca5,mrr_mxn,,282216.00,D00957,1.0.0,2024-08-31
