master_id,hubspot_id,segment,acquisition_channel,mrr_mxn,churned,reference_month,asof_month,usage_months_asof,score_momentum,score_mom,score_drawdown,score_tenure,tickets_window_total,tickets_window_urgent,csat_window_avg,activation_score,health_score,risk_band,flagged_10,flagged_15,flagged_20
8ab5e8824094,HS-100453,SMB,Referral,7129.00,True,2023-08,2023-06,4,4.19,3.42,3.93,17.31,0,0,,4.53,7.93,riesgo alto,True,True,True
d6eff0593968,HS-100101,SMB,Paid Search,4967.00,True,2023-06,2023-04,4,4.19,3.42,3.93,17.31,0,0,,3.76,7.93,riesgo alto,True,True,True
c14e78b458d1,HS-100072,SMB,Partner,8502.00,True,2024-05,2024-03,6,1.88,1.11,2.56,25.31,0,0,,37.18,8.86,riesgo alto,True,True,True
acef081a80f0,HS-100217,SMB,Webinar,2934.00,True,2024-05,2024-03,7,0.51,0.17,1.54,29.08,0,0,,14.87,9.17,riesgo alto,True,True,True
5ce69a34518d,HS-100351,SMB,Evento,89447.50,True,2024-06,2024-04,4,5.81,3.42,10.77,17.31,0,0,,37.95,9.53,riesgo alto,True,True,True
868d321ac39e,HS-100225,SMB,Paid Search,8634.00,True,2024-06,2024-04,5,4.96,3.42,6.67,21.62,0,0,,36.92,9.91,riesgo alto,True,True,True
fa78e5fd572a,HS-100401,SMB,Organic,6039.00,True,2023-08,2023-06,5,5.98,0.51,8.72,21.62,0,0,,40.77,9.99,riesgo alto,True,True,True
fca6820379e6,HS-100283,SMB,Paid Search,2453.00,True,2023-07,2023-05,4,8.21,1.71,12.65,17.31,0,0,,57.78,10.31,riesgo alto,True,True,True
078d848b2f9f,HS-100042,SMB,Paid Search,6160.00,True,2023-04,2023-02,4,7.86,5.21,10.60,17.31,0,0,,48.12,10.58,riesgo alto,True,True,True
db6aaecba31f,HS-100083,SMB,Referral,7684.00,True,2023-12,2023-10,8,0.34,0.34,4.53,32.46,1,0,3.00,10.60,10.60,riesgo alto,True,True,True
