master_id,hubspot_id,account_id,vitally_id,account_match_tier,vitally_match_tier,confidence_tier,resolved_at,ruleset_version
0014df720942,HS-100421,ACC-2420,cus_100420,T0,T1,T1,2024-08-31,1.0.0
0044b4ee820c,HS-100017,ACC-2016,cus_100016,T0,T1,T1,2024-08-31,1.0.0
00902f986641,HS-100325,ACC-2324,cus_100324,T0,T1,T1,2024-08-31,1.0.0
00a8d71c23f4,HS-100064,ACC-2063,cus_100063,T0,T1,T1,2024-08-31,1.0.0
00fd17d94d91,HS-100010,ACC-2009,cus_100009,T0,T1,T1,2024-08-31,1.0.0
00fe53692ca1,HS-100454,ACC-2453,cus_100453,T0,T1,T1,2024-08-31,1.0.0
0196867379d8,HS-100062,ACC-2061,cus_100061,T0,T1,T1,2024-08-31,1.0.0
02382e1b34e3,HS-100407,ACC-2406,cus_100406,T0,T1,T1,2024-08-31,1.0.0
034cefcecc7f,HS-100253,ACC-2252,cus_100252,T0,T1,T1,2024-08-31,1.0.0
03ba89cf14b9,HS-100273,ACC-2272,cus_100272,T0,T1,T1,2024-08-31,1.0.0
03e9e800144c,HS-100545,ACC-2544,cus_100544,T0,T1,T1,2024-08-31,1.0.0
04887d0f3f7c,HS-100607,ACC-2606,cus_100606,T0,T1,T1,2024-08-31,1.0.0
05f6a68d13dc,HS-100294,ACC-2293,cus_100293,T2,T1,T2,2024-08-31,1.0.0
062df55dccb8,HS-100126,ACC-2125,cus_100125,T0,T1,T1,2024-08-31,1.0.0
068871d26770,HS-100209,ACC-2208,cus_100208,T0,T1,T1,2024-08-31,1.0.0
07834c81ea07,HS-100161,ACC-2160,cus_100160,T0,T1,T1,2024-08-31,1.0.0
078d848b2f9f,HS-100042,ACC-2041,cus_100041,T0,T1,T1,2024-08-31,1.0.0
08513678e63b,HS-100643,ACC-2642,cus_100642,T0,T1,T1,2024-08-31,1.0.0
093598bb9373,HS-100490,ACC-2489,cus_100489,T0,T1,T1,2024-08-31,1.0.0
0950a3eaca02,HS-100340,ACC-2339,cus_100339,T0,T1,T1,2024-08-31,1.0.0
09a2a58e60b9,HS-100103,ACC-2102,cus_100102,T0,T1,T1,2024-08-31,1.0.0
0a2107e049f9,HS-100159,ACC-2158,cus_100158,T0,T1,T1,2024-08-31,1.0.0
0aa90d008a95,HS-100068,ACC-2067,cus_100067,T0,T1,T1,2024-08-31,1.0.0
0b0baf334770,HS-100402,ACC-2401,cus_100401,T0,T1,T1,2024-08-31,1.0.0
0b0c556bec93,HS-100348,ACC-2347,cus_100347,T2,T1,T2,2024-08-31,1.0.0
0b42fd3d0ae2,HS-100167,ACC-2166,cus_100166,T0,T1,T1,2024-08-31,1.0.0
0b632556c614,HS-100134,ACC-2133,cus_100133,T0,T1,T1,2024-08-31,1.0.0
0c0316a141aa,HS-100628,ACC-2627,cus_100627,T0,T1,T1,2024-08-31,1.0.0
0c092b55cb21,HS-100637,ACC-2636,cus_100636,T0,T1,T1,2024-08-31,1.0.0
0c9833234628,HS-100252,ACC-2251,cus_100251,T0,T1,T1,2024-08-31,1.0.0
0cba696d8c85,HS-100251,ACC-2250,cus_100250,T0,T1,T1,2024-08-31,1.0.0
0d4cd09dfa99,HS-100221,ACC-2220,cus_100220,T0,T1,T1,2024-08-31,1.0.0
0d6202950750,HS-100152,ACC-2151,cus_100151,T0,T1,T1,2024-08-31,1.0.0
0df07dc09d21,HS-100456,ACC-2455,cus_100455,T0,T1,T1,2024-08-31,1.0.0
0e7b9d22a314,HS-100306,ACC-2305,cus_100305,T2,T1,T2,2024-08-31,1.0.0
0f42092743f1,HS-100626,ACC-2625,cus_100625,T0,T1,T1,2024-08-31,1.0.0
0f853c61d098,HS-100300,ACC-2299,cus_100299,T0,T1,T1,2024-08-31,1.0.0
0f9a82123cbe,HS-100202,ACC-2201,cus_100201,T0,T1,T1,2024-08-31,1.0.0
0fda0433e133,HS-100472,ACC-2471,cus_100471,T0,T1,T1,2024-08-31,1.0.0
108f213736fb,HS-100204,ACC-2203,cus_100203,T0,T1,T1,2024-08-31,1.0.0
10e7e55b829d,HS-100538,ACC-2537,cus_100537,T0,T1,T1,2024-08-31,1.0.0
118a77d9045d,HS-100559,ACC-2558,cus_100558,T0,T1,T1,2024-08-31,1.0.0
1197d211e7e1,HS-100127,ACC-2126,cus_100126,T0,T1,T1,2024-08-31,1.0.0
12031a79d1d3,HS-100460,ACC-2459,cus_100459,T0,T1,T1,2024-08-31,1.0.0
1288cafbc1fe,HS-100439,ACC-2438,cus_100438,T0,T1,T1,2024-08-31,1.0.0
12bb70998c29,HS-100648,ACC-2647,cus_100647,T0,T1,T1,2024-08-31,1.0.0
1344cdebacd2,HS-100498,ACC-2497,cus_100497,T2,T1,T2,2024-08-31,1.0.0
13d2b5cf6ea2,HS-100228,ACC-2227,cus_100227,T0,T1,T1,2024-08-31,1.0.0
143d4fc0dd50,HS-100289,ACC-2288,cus_100288,T0,T1,T1,2024-08-31,1.0.0
14c82590fbd2,HS-100324,ACC-2323,cus_100323,T0,T1,T1,2024-08-31,1.0.0
14e457b52fab,HS-100358,ACC-2357,cus_100357,T0,T1,T1,2024-08-31,1.0.0
1598cd0f4138,HS-100287,ACC-2286,cus_100286,T0,T1,T1,2024-08-31,1.0.0
16541ff794fd,HS-100088,ACC-2087,cus_100087,T0,T1,T1,2024-08-31,1.0.0
