hubspot_id,company_name,domain,mrr,currency,signup_date,churn_date,reason_code,survivor_hubspot_id,survivor_master_id,evidence_json,ruleset_version,decided_at
HS-900000,"Marroquín, Leiva y Maya SA DE CV",marroquín797.com.mx,,MXN,2023-03-28,2024-02-08,duplicate_company_clone,HS-100187,eb78824cdc91,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900001,CALDERÓN S.A.,calderón375.com.mx,,MXN,2024-05-08,,duplicate_company_clone,HS-100469,289073814fdb,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900002,LAUREANO-OCASIO,laureanoocas684.com.mx,,MXN,2023-01-23,2024-03-09,duplicate_company_clone,HS-100336,6bca486a099d,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900003,Maestas-Bustos A.C. SA DE CV,maestasbusto63.com.mx,,MXN,2024-06-12,,duplicate_company_clone,HS-100509,5d3a54fbe090,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900004,VELA Y CARRANZA E HIJOS,vela133.com.mx,,MXN,2023-07-21,,duplicate_company_clone,HS-100591,ba0e4a372968,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900005,INDUSTRIAS ARCE-IGLESIAS,industrias636.com.mx,,MXN,2022-12-14,,duplicate_company_clone,HS-100647,ae32988dfca5,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900006,Proyectos Garibay-Espinosa SA DE CV,proyectos892.com.mx,,MXN,2024-02-04,,duplicate_company_clone,HS-100169,21f411028416,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900007,"Laboratorios Téllez, Sanches y Abreu SA DE CV",laboratorios886.com.mx,,MXN,2024-02-07,,duplicate_company_clone,HS-100058,3dc38ff1f062,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900008,"LABORATORIOS MARÍN, DEL RÍO Y GARRIDO",laboratorios422.com.mx,,MXN,2022-11-24,2024-02-18,duplicate_company_clone,HS-100156,d3325cc67acf,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900009,DESPACHO HERNÁNDEZ-APONTE,despacho576.com.mx,,MXN,2022-10-09,,duplicate_company_clone,HS-100361,34932df15d7b,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900010,PUENTE E HIJOS,puente792.com.mx,,MXN,2023-08-16,,duplicate_company_clone,HS-100143,f08eb23cc0db,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900011,Grupo Guzmán-de Anda SA DE CV,grupo393.com.mx,,MXN,2023-09-01,,duplicate_company_clone,HS-100334,d6e7796e9cfc,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900012,"Márquez, Adame y Cepeda SA DE CV",márquez390.com.mx,,MXN,2022-04-26,,duplicate_company_clone,HS-100404,7a37e35fc015,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900013,VILLARREAL Y ROBLES S. R.L. DE C.V.,villarreal986.com.mx,,MXN,2022-07-03,,duplicate_company_clone,HS-100366,95d506c2c301,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
