company_sk,master_id,hubspot_id,account_id,vitally_id,company_name,domain_label,segment,industry,plan,csm_owner,state,signup_date,churn_date,churn_status,attributes_hash,effective_from,effective_to,is_current,ruleset_version
fb81c37f0e0a,0014df720942,HS-100421,ACC-2420,cus_100420,Club Mascareñas-Moya,club870,Mid-Market,Manufactura,Pro,Fernanda Solís,Puebla,2023-04-10,,active,4fa0276c7767,2024-08-31,,True,1.0.0
090717636142,0044b4ee820c,HS-100017,ACC-2016,cus_100016,"Club Badillo, Ruelas y Almonte",club774,SMB,Retail,Basico,Diego Ortega,Estado de México,2024-05-18,,active,b91952ad0533,2024-08-31,,True,1.0.0
0d9dc181a89e,00902f986641,HS-100325,ACC-2324,cus_100324,"Zayas, Guajardo y García",zayas588,Enterprise,Automotriz,Premium,Ana Ruiz,Nuevo León,2022-07-07,,active,109ecb009392,2024-08-31,,True,1.0.0
328f92a7ba49,00a8d71c23f4,HS-100064,ACC-2063,cus_100063,Ybarra y Alcaraz S.C.,ybarra40,SMB,Logística,Basico,Marta Díaz,Estado de México,2024-06-09,,active,58b139e9510f,2024-08-31,,True,1.0.0
04d8938b27ef,00fd17d94d91,HS-100010,ACC-2009,cus_100009,"Proyectos Zamora, Amaya y Rosales",proyectos380,Mid-Market,Tecnología,Pro,Fernanda Solís,Jalisco,2023-06-23,,active,4fa0276c7767,2024-08-31,,True,1.0.0
80f2069e74d3,00fe53692ca1,HS-100454,ACC-2453,cus_100453,Despacho Gamboa y Espinoza,despacho982,Enterprise,Manufactura,Premium,Fernanda Solís,Querétaro,2024-01-22,,active,e4075c4fb552,2024-08-31,,True,1.0.0
f8de6a139838,0196867379d8,HS-100062,ACC-2061,cus_100061,"Proyectos Olvera, Llamas y Huerta",proyectos360,SMB,Logística,Basico,Diego Ortega,Chihuahua,2024-04-21,,active,b91952ad0533,2024-08-31,,True,1.0.0
790368749722,02382e1b34e3,HS-100407,ACC-2406,cus_100406,Marroquín y Mercado A.C.,marroquin837,SMB,Logística,Basico,Luis Peña,Sonora,2023-10-19,2024-05-10,churned,b1d5ba07b065,2024-08-31,,True,1.0.0
8ee19efcc61b,034cefcecc7f,HS-100253,ACC-2252,cus_100252,Proyectos Mateo y Tejeda,proyectos585,Mid-Market,Construcción,Pro,Carla Nuñez,Guanajuato,2023-07-16,,active,49d8861015c4,2024-08-31,,True,1.0.0
4d8b033ddfed,03ba89cf14b9,HS-100273,ACC-2272,cus_100272,Zepeda-Partida,zepedapartid936,Mid-Market,Educación,Pro,Fernanda Solís,Yucatán,2022-07-15,,active,4fa0276c7767,2024-08-31,,True,1.0.0
25df7e280772,03e9e800144c,HS-100545,ACC-2544,cus_100544,"Cervántez, Esparza y Oquendo",cervantez995,Mid-Market,Educación,Pro,Diego Ortega,Chihuahua,2023-03-08,2023-11-21,churned,79494cbaf8f7,2024-08-31,,True,1.0.0
11e7cf2af654,04887d0f3f7c,HS-100607,ACC-2606,cus_100606,Alcala-Magaña,alcalamagana369,SMB,Logística,Basico,Ana Ruiz,CDMX,2022-10-10,,active,3006ea73b76b,2024-08-31,,True,1.0.0
c3286d7f6add,05f6a68d13dc,HS-100294,ACC-2293,cus_100293,Serrato-Lomeli,serratolomel126,SMB,Alimentos,Basico,Marta Díaz,Estado de México,2022-12-15,2023-03-10,churned,58b139e9510f,2024-08-31,,True,1.0.0
3652a90060aa,062df55dccb8,HS-100126,ACC-2125,cus_100125,"Grupo Alva, Linares y Mendoza",grupo847,SMB,Logística,Basico,Carla Nuñez,Sonora,2022-12-20,2023-07-25,churned,54379cde7967,2024-08-31,,True,1.0.0
c4d313b2dfb7,068871d26770,HS-100209,ACC-2208,cus_100208,Laboratorios Valdivia-Ornelas,laboratorios614,SMB,Educación,Basico,Luis Peña,Nuevo León,2022-07-07,,active,b1d5ba07b065,2024-08-31,,True,1.0.0
17b52d5a46e1,07834c81ea07,HS-100161,ACC-2160,cus_100160,Covarrubias-Rosario S.A. de C.V.,covarrubiasr586,SMB,Educación,Basico,Marta Díaz,CDMX,2022-01-06,,active,58b139e9510f,2024-08-31,,True,1.0.0
b6b940187c57,078d848b2f9f,HS-100042,ACC-2041,cus_100041,Maldonado-Bueno,maldonadobue984,SMB,Manufactura,Basico,Fernanda Solís,Puebla,2022-11-23,2023-04-01,churned,05c44af64c13,2024-08-31,,True,1.0.0
fd052890dcdd,08513678e63b,HS-100643,ACC-2642,cus_100642,"Prado, Ozuna y Orellana",prado772,SMB,Construcción,Basico,Ana Ruiz,Sonora,2023-02-10,,active,3006ea73b76b,2024-08-31,,True,1.0.0
08b36f9bcb4c,093598bb9373,HS-100490,ACC-2489,cus_100489,Manzanares y Zapata y Asociados,manzanares211,Enterprise,Retail,Premium,Ana Ruiz,Nuevo León,2022-01-11,,active,109ecb009392,2024-08-31,,True,1.0.0
1095c723df68,0950a3eaca02,HS-100340,ACC-2339,cus_100339,Prado-Castillo A.C.,pradocastill458,SMB,Servicios Financieros,Basico,Ana Ruiz,CDMX,2023-01-24,,active,3006ea73b76b,2024-08-31,,True,1.0.0
66d6e2295895,09a2a58e60b9,HS-100103,ACC-2102,cus_100102,Industrias Ramos-Tejeda,industrias331,SMB,Logística,Basico,Marta Díaz,Yucatán,2022-06-20,,active,58b139e9510f,2024-08-31,,True,1.0.0
4cb9cbad36d5,0a2107e049f9,HS-100159,ACC-2158,cus_100158,Chapa S.C.,chapa453,SMB,Retail,Basico,Fernanda Solís,Querétaro,2022-11-27,,active,05c44af64c13,2024-08-31,,True,1.0.0
cfeed9375aea,0aa90d008a95,HS-100068,ACC-2067,cus_100067,Club Montemayor-Godoy,club922,Mid-Market,Agroindustria,Pro,Marta Díaz,Estado de México,2023-01-24,,active,991478174dff,2024-08-31,,True,1.0.0
158a2e50245e,0b0baf334770,HS-100402,ACC-2401,cus_100401,Flores-Reyes S. R.L. de C.V.,floresreyes802,Enterprise,Alimentos,Premium,Fernanda Solís,Yucatán,2022-06-10,,active,e4075c4fb552,2024-08-31,,True,1.0.0
6fb6d6e6dc60,0b0c556bec93,HS-100348,ACC-2347,cus_100347,Zelaya y Marrero S. R.L. de C.V.,zelaya385,SMB,Educación,Basico,Marta Díaz,Jalisco,2022-10-19,,active,58b139e9510f,2024-08-31,,True,1.0.0
6f6ecda841a5,0b42fd3d0ae2,HS-100167,ACC-2166,cus_100166,Collazo-Prieto,collazopriet206,SMB,Tecnología,Basico,Carla Nuñez,Chihuahua,2022-07-11,,active,54379cde7967,2024-08-31,,True,1.0.0
2d6d7a3bb4d8,0b632556c614,HS-100134,ACC-2133,cus_100133,Pizarro S.A.,pizarro466,SMB,Manufactura,Basico,Diego Ortega,Estado de México,2024-04-02,,active,b91952ad0533,2024-08-31,,True,1.0.0
a6dbe2ddb0b9,0c0316a141aa,HS-100628,ACC-2627,cus_100627,Santillán S.C.,santillan761,Mid-Market,Agroindustria,Pro,Luis Peña,Puebla,2022-08-16,,active,1e61b2a314d4,2024-08-31,,True,1.0.0
0694362d2fc2,0c092b55cb21,HS-100637,ACC-2636,cus_100636,Cavazos y Quiroz S.A. de C.V.,cavazos755,SMB,Agroindustria,Basico,Marta Díaz,Guanajuato,2023-01-21,2024-03-21,churned,58b139e9510f,2024-08-31,,True,1.0.0
