source_system,source_id,master_id,confidence_tier,link_source,decided_by,matched_at
crm_hubspot,HS-100001,b5e018ec0013,T2,cascade,,2024-08-31
crm_hubspot,HS-100002,51b8827af99f,T1,cascade,,2024-08-31
crm_hubspot,HS-100003,4241a3ce2f40,T1,cascade,,2024-08-31
crm_hubspot,HS-100004,6d621ac6bce1,T1,cascade,,2024-08-31
crm_hubspot,HS-100005,793be83a3632,T1,cascade,,2024-08-31
crm_hubspot,HS-100006,5df58f1cd011,T1,cascade,,2024-08-31
crm_hubspot,HS-100007,d7e2debcb1e4,T1,cascade,,2024-08-31
crm_hubspot,HS-100008,bfcc93c1234c,T1,cascade,,2024-08-31
crm_hubspot,HS-100009,2cc32419a667,T1,cascade,,2024-08-31
crm_hubspot,HS-100010,00fd17d94d91,T1,cascade,,2024-08-31
crm_hubspot,HS-100011,7673a68d1cc4,T1,cascade,,2024-08-31
crm_hubspot,HS-100012,2abb19d06446,T1,cascade,,2024-08-31
crm_hubspot,HS-100013,e382b0077d44,T1,cascade,,2024-08-31
crm_hubspot,HS-100014,e5c032b1ac0b,T1,cascade,,2024-08-31
crm_hubspot,HS-100015,f268910f164f,T1,cascade,,2024-08-31
crm_hubspot,HS-100016,4b51faa01f35,T1,cascade,,2024-08-31
crm_hubspot,HS-100017,0044b4ee820c,T1,cascade,,2024-08-31
crm_hubspot,HS-100018,5284a262a4a1,T1,cascade,,2024-08-31
crm_hubspot,HS-100019,82b3be1a7259,T1,cascade,,2024-08-31
crm_hubspot,HS-100020,7ed9ffed0ce9,T1,cascade,,2024-08-31
crm_hubspot,HS-100021,7c49bd17517b,T1,cascade,,2024-08-31
crm_hubspot,HS-100022,dc7546038f51,T1,cascade,,2024-08-31
crm_hubspot,HS-100023,f7b188c45db9,T1,cascade,,2024-08-31
crm_hubspot,HS-100024,6d7170e9789b,T1,cascade,,2024-08-31
crm_hubspot,HS-100025,fb754cb6ae6b,T2,cascade,,2024-08-31
crm_hubspot,HS-100026,ca4b97d0cb79,T1,cascade,,2024-08-31
crm_hubspot,HS-100027,5205e01e1434,T1,cascade,,2024-08-31
crm_hubspot,HS-100028,d3d6430ce9c4,T2,cascade,,2024-08-31
crm_hubspot,HS-100029,8dc56996e31a,T1,cascade,,2024-08-31
crm_hubspot,HS-100030,800f2eb56933,T1,cascade,,2024-08-31
